Basketball  646
1   Main Clock Time (mm:ss, ss.t)   5
6   Main Clock Time (mm:ss.t)   8
464	Guest Shots On Goal - Period 9	2
466	Guest Shots On Goal - Current	2
468	Guest Shots On Goal - Total	3
471	Guest Saves - Period 1	2
473	Guest Saves - Period 2	2
475	Guest Saves - Period 3	2
477	Guest Saves - Period 4	2
479	Guest Saves - Period 5	2
481	Guest Saves - Period 6	2
483	Guest Saves - Period 7	2
485	Guest Saves - Period 8	2
487	Guest Saves - Period 9	2
489	Guest Saves - Current	2
491 Guest Saves - Total 3

Volleyball  596
1	Main Clock Time (mm:ss/ss.t)	5
6	Main Clock Time (mm:ss.t)	8
14	Main Clock/Time Out/TOD (mm:ss/ss.t)	5
19	Main Clock/Time Out/TOD (mm:ss.t)	8
27	Main Clock =0	1
28	Main Clock Stopped	1
29	Main Clock/Time Out Horn	1
30	Main Clock Horn	1
31	Time Out Horn	1
32	Time Out Time (mm:ss)	8
40	Time of Day (hh:mm:ss)	8
48	Home Team Name	20
68	Guest Team Name	20
88	Home Team Abbreviation	10
98	Guest Team Abbreviation	10
108	Home Team Score	4
112	Guest Team Score	4
116	Home Time Outs Left - Full	2
118	Home Time Outs Left - Partial	2
120	Home Time Outs Left - Television	2
122	Home Time Outs Left - Total	2
124	Guest Time Outs Left - Full	2
126	Guest Time Outs Left - Partial	2
128	Guest Time Outs Left - Television	2
130	Guest Time Outs Left - Total	2
132	Home Time Out Indicator	1
133	Home Time Out Text	4
137	Guest Time Out Indicator	1
138	Guest Time Out Text	4
142	Game	2
144	Game Text	4
148	Game Description	12
160	Internal Relay	1
161	Ad Panel / Caption Power	1
162	Ad Panel / Caption #1	1
163	Ad Panel / Caption #2	1
164	Ad Panel / Caption #3	1
165	Ad Panel / Caption #4	1
166	Reserved for Future Use	35
201	Home Serve Indicator	1
202	Home Serve Arrow	1
203	Home Serve Text	5
208	Guest Serve Indicator	1
209	Guest Serve Arrow	1
210	Guest Serve Text	5
215	Home Games Won	2
217	Guest Games Won	2
219	Match Number	3
222	Home Score - Game 1	2
224	Home Score - Game 2	2
226	Home Score - Game 3	2
228	Home Score - Game 4	2
230	Home Score - Game 5	2
232	Home Score - Game 6	2
234	Home Score - Game 7	2
236	Home Score - Game 8	2
238	Home Score - Game 9	2
240	Home Score - Current Game	2
242	Guest Score - Game 1	2
244	Guest Score - Game 2	2
